"år","maxflöde"
1900,1614
1901,2062
1902,1324
1903,1554
1904,1737
1905,1995
1906,1995
1907,2485
1908,1324
1909,1800
1910,1737
1911,1614
1912,1614
1913,1929
1914,2130
1915,2485
1916,1437
1917,2130
1918,2485
1919,1675
1920,2199
1921,1737
1922,2634
1923,1800
1924,1800
1925,1800
1926,1536
1927,2015
1928,1632
1929,1800
1930,1663
1931,1274
1932,1975
1933,1675
1934,1877
1935,2164
1936,1800
1937,1403
1938,2213
1939,1437
1980,661
1981,966
1982,653
1983,1206
1984,940
1985,970
1986,766
1987,1072
1988,738
1989,1640
1990,889
1991,960
1992,952
1993,2146
1994,840
1995,1624
1996,743
1997,1124
1998,1328
1999,1045
2000,1173
2001,1147
2002,1188
2003,693
2004,1162
2005,971
2006,899
2007,1140
2008,1240
2009,834
2010,1193
2011,1326
2012,1042
2013,1057
2014,976
2015,1075
2016,1019
2017,997
2018,1242
2019,993
2020,1107
2021,1133
2022,1408
