"år","maxflöde"
1911,856
1912,712
1913,886
1914,732
1915,652
1916,1071
1917,1011
1918,678
1919,537
1920,1092
1921,598
1922,1365
1923,521
1924,1041
1925,973
1926,1128
1927,1113
1928,634
1929,968
1930,1187
1931,797
1932,560
1933,627
1934,648
1935,1225
1936,1102
1937,671
1938,1651
1939,1040
1980,1135
1981,864
1982,870
1983,1101
1984,820
1985,812
1986,957
1987,946
1988,1068
1989,792
1990,687
1991,1061
1992,926
1993,975
1994,740
1995,1799
1996,591
1997,984
1998,970
1999,855
2000,840
2001,930
2002,665
2003,785
2004,1102
2005,1134
2006,561
2007,667
2008,989
2009,591
2010,1461
2011,784
2012,1019
2013,1138
2014,904
2015,987
2016,682
2017,780
2018,1530
2019,872
2020,988
2021,797
2022,1158
